Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6695499846c0587d77c5b8c6,6686f834fd4c9f0bdb7bc8b8,AWAITING REVIEW,Not Applicable,2024-07-15T16:09:05.187000Z,2024-07-15T16:32:23.658000Z,,2024-07-15T16:34:00.186520Z,1399,CZRCK6S2,9,"Other, English",30,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6695499921b6b6d5f1aef493,668951d999f32641de80ae14,AWAITING REVIEW,Not Applicable,2024-07-15T16:09:04.546000Z,2024-07-15T16:21:39.121000Z,,2024-07-15T16:21:45.754699Z,755,CZRCK6S2,6,English,24,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
669549995880d19aefcb3a44,60128528323c742cb9b96310,AWAITING REVIEW,Not Applicable,2024-07-15T16:08:57.657000Z,2024-07-15T16:16:13.610000Z,,2024-07-15T16:16:14.587870Z,436,CZRCK6S2,361,"Portuguese, English",30,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6695499a269c317053f15c7e,664b6ae07c35f8f864f727d3,AWAITING REVIEW,Not Applicable,2024-07-15T16:09:34.453000Z,2024-07-15T16:20:07.189000Z,,2024-07-15T16:20:08.284510Z,633,CZRCK6S2,19,"English, Swahili",41,Female,Black,Kenya,Kenya,Kenya,English,No,Part-Time
6695499a57f7a2775812e447,5fc58cd91b53521031a2d369,AWAITING REVIEW,Not Applicable,2024-07-15T16:09:17.174000Z,2024-07-15T16:20:59.505000Z,,2024-07-15T16:21:02.139065Z,703,CZRCK6S2,231,"Indonesian, English",22,Female,Asian,Indonesia,Germany,Indonesia,Indonesian,Yes,Other
6695499af9e2f75c140bce37,668e809461aae65c8a160e03,AWAITING REVIEW,Not Applicable,2024-07-15T16:09:05.992000Z,2024-07-15T16:14:34.165000Z,,2024-07-15T16:14:51.830820Z,329,CZRCK6S2,8,"English, Portuguese",20,Male,Black,Angola,Portugal,Angola,Portuguese,Yes,Unemployed (and job seeking)
6695499b51f55efc36ac3a87,64da7419175c97c2e12b9d7a,AWAITING REVIEW,Not Applicable,2024-07-15T16:10:51.796000Z,2024-07-15T16:19:20.921000Z,,2024-07-15T16:19:21.709519Z,510,CZRCK6S2,9,"Korean, Spanish, English, Other",21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
6695499c6ac209a327eb086f,668d36339ef8c467df03adb5,AWAITING REVIEW,Not Applicable,2024-07-15T16:09:36.192000Z,2024-07-15T16:15:35.786000Z,,2024-07-15T16:15:36.320770Z,360,CZRCK6S2,13,"Spanish, English",19,Male,Other,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)
6695499cd23e923f56f397b7,6112e38f811a9d11384fd173,AWAITING REVIEW,Not Applicable,2024-07-15T16:09:39.344000Z,2024-07-15T16:24:35.379000Z,,2024-07-15T16:24:36.287601Z,897,CZRCK6S2,314,English,36,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,DATA_EXPIRED,Part-Time
6695499dc7747835311d6151,5c5404c24831db000161c5e8,AWAITING REVIEW,Not Applicable,2024-07-15T16:09:16.661000Z,2024-07-15T16:15:27.350000Z,,2024-07-15T16:15:28.139235Z,371,CZRCK6S2,656,English,35,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
